,darea,empdensity,housedensity,lat,lon,name,narea,parking,paydensity,popdensity,warea,empnear,empwalk,empdrive,housenear,housewalk,housedrive,paynear,paywalk,paydrive,popnear,popwalk,popdrive,15empnet,30empnet,60empnet,15housenet,30housenet,60housenet,15paynet,30paynet,60paynet,15popnet,30popnet,60popnet
23,7.0685834705770345,2863.8428237017074,4789.303433916133,41.933,-87.653,Diversey,1.4451326206513047,0,109730.97382291936,9275.86091265187,3.141592653589793,4138.632684949481,8997.027575977134,20243.31204594855,6921.178622549514,15046.040483803294,33853.59108855741,158575.80976733516,344730.02123333735,775642.5477750091,13404.8491894976,29140.97649890783,65567.19712254261,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
24,7.0685834705770345,3016.43276951969,4155.910352111694,41.925,-87.653,Fullerton,1.8221237390820801,0,113976.19983688374,8263.57924075608,3.141592653589793,5496.313756686932,9476.403028770572,21321.906814733786,7572.582910079685,13056.17743117187,29376.399220136704,207678.73941314896,358066.7920916361,805650.2822061813,15057.263904367526,25960.79983511642,58411.79962901195,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
25,0.0,3480.2657982135784,4136.348786624545,41.918,-87.653,Armitage,1.6336281798666925,0,140041.90053065622,8178.998990448063,3.141592653589793,5685.46028138795,10933.577464207596,0.0,6757.255939587258,12994.722960744726,0.0,228776.39506896833,439954.60590186215,0.0,13361.443233897184,25695.08314210997,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
26,0.0,7426.511545517544,5130.215551034056,41.91,-87.639,Sedgwick,1.5393804002589986,0,402346.7056991175,8981.764356516134,3.141592653589793,11432.22631546687,23331.074113197697,0.0,7897.353268365744,16117.047486460704,0.0,619364.632861997,1264009.4548204022,0.0,13826.352010165814,28217.044918705742,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
27,0.0,16798.35790503505,5859.946882781501,41.897,-87.636,Chicago P-B,0.8482300164692441,0,1273246.1318820796,9304.684145092113,3.141592653589793,14248.871402444136,52773.597786830134,0.0,4970.582840890648,18409.566077372772,0.0,1080005.5874157378,4000020.6941323625,0.0,7892.512385632597,29231.527354194808,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
28,0.0,43640.264883418145,5579.550678370433,41.889,-87.634,Merchandise Mart,0.25132741228718347,0,3877275.936901215,8337.000680335075,3.141592653589793,10967.994844676727,137099.93555845908,0.0,1402.29403372004,17528.6754215005,0.0,974465.7279447472,12180821.59930934,0.0,2095.3168072251024,26191.46009031378,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
29,0.0,53458.49001287961,5155.352215574798,41.886,-87.632,Clark-Lake,0.09424777960769379,0,4802268.886107119,7856.516343914146,3.141592653589793,5038.343984893977,167944.7994964659,0.0,485.88049941352944,16196.016647117649,0.0,452603.1795947089,15086772.653156964,0.0,740.4592208654647,24681.97402884882,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
30,0.0,63818.79504003646,4921.313450083722,41.885,-87.628,State-Lake-Washington,0.18849555921538758,0,5793382.315637032,7482.975370330315,3.141592653589793,12029.559459523874,200492.65765873127,0.0,927.6457308477396,15460.76218079566,0.0,1092026.8393345394,18200447.322242323,0.0,1410.5076270253846,23508.460450423077,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
31,0.0,61721.445956896874,4729.14284153675,41.884,-87.626,Randolph-Wabash,0.9110618695410401,0,5593944.912594653,7457.471771912953,3.141592653589793,56232.055944266736,193903.64118712666,0.0,4308.541718537098,14857.040408748613,0.0,5096429.910178075,17573896.24199336,0.0,6794.2181745685475,23428.33853299499,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
32,0.0,114547.00165309936,1708.9112041698331,41.88,-87.626,Adams-Wabash,0.5026548245743669,0,10554953.845593717,3959.560033568851,3.078760800517997,57577.60302145838,352662.8185064325,0.0,858.9924615451577,5261.32882696409,0.0,5305498.473647449,32496178.151090626,0.0,1990.2919540652254,12190.538218649503,0.0,17934.771808637794,324571.4369203593,689276.4446321584,21663.528725642125,65295.926352019495,413016.43812621944,770988.2859941012,27381639.680264972,48993965.98423434,75869.01109422062,164694.92527301674,1006706.0616545521
