GEO.id,ESTAB,EMP,PAYQTR1,PAYANN
8610000US01945,559,3826,33611,153088
8610000US01949,306,3513,38396,174220
8610000US01950,778,10078,109354,498322
8610000US01951,84,434,2731,13370
8610000US01952,274,2435,24050,131193
8610000US01960,1443,23642,274695,1121461
8610000US01961,34,444,4470,18187
8610000US01965,12,e,D,D
8610000US01966,190,683,5229,28594
8610000US01969,215,2546,27955,126270
8610000US01970,1137,16875,186329,808264
8610000US01971,3,5,26,99
8610000US01982,141,845,7801,37347
8610000US01983,252,2048,25118,115342
8610000US01984,77,1829,12930,46438
8610000US01985,70,520,4487,21670
8610000US02018,5,76,1782,8632
8610000US02019,390,6284,59701,255575
8610000US02020,13,199,789,4352
8610000US02021,938,22933,398470,1619780
8610000US02025,273,2245,16804,79572
8610000US02026,895,14355,179022,715124
8610000US02027,16,269,5085,20228
8610000US02030,120,411,4748,23535
8610000US02032,129,2558,25721,107998
8610000US02035,606,12605,177722,708221
8610000US02038,818,15474,178427,752487
8610000US02040,4,20,218,907
8610000US02041,5,c,D,D
8610000US02043,850,14939,170358,709643
8610000US02044,1,a,D,D
8610000US02045,162,988,6616,32403
8610000US02047,6,19,118,636
8610000US02048,585,11470,146405,633965
8610000US02050,507,4639,38606,180078
8610000US02051,9,46,177,733
8610000US02052,299,2326,18843,86795
8610000US02053,301,2998,31586,133999
8610000US02054,191,1323,9267,45403
8610000US02056,231,1868,17128,86447
8610000US02059,6,13,48,197
8610000US02060,10,145,2281,9643
8610000US02061,580,10980,167256,697748
8610000US02062,1241,24086,406978,1542645
8610000US02065,3,8,42,443
8610000US02066,373,2392,18647,91270
8610000US02067,376,2641,26859,120949
8610000US02070,4,24,206,939
8610000US02071,19,79,870,5810
8610000US02072,890,31644,202956,873418
8610000US02081,610,6990,76116,351162
8610000US02090,495,12541,254364,831745
8610000US02093,418,5774,36361,165357
8610000US02108,1165,24243,607983,1890948
8610000US02109,1353,36721,1415693,4698747
8610000US02110,1849,57121,2668955,8678106
8610000US02111,982,29560,799288,2459231
8610000US02112,8,93,879,3712
8610000US02113,180,2051,17427,80620
8610000US02114,685,39693,736641,3117532
8610000US02115,588,60188,917710,3874488
8610000US02116,2039,57966,1609846,5740106
8610000US02117,13,g,D,D
8610000US02118,826,18199,237161,999081
8610000US02119,448,6956,87802,397933
8610000US02120,173,3825,43175,183960
8610000US02121,193,1846,14474,69812
8610000US02122,512,7917,76397,345446
8610000US02123,4,c,D,D
8610000US02124,569,6026,49491,226961
8610000US02125,458,10691,135410,553852
8610000US02126,205,2087,15708,69226
8610000US02127,665,10423,167596,631510
8610000US02128,751,23144,313966,1211921
8610000US02129,488,10150,161111,695713
8610000US02130,645,14161,325951,896780
8610000US02131,411,5681,46276,200298
8610000US02132,523,6105,53741,228167
8610000US02133,6,20,157,655
8610000US02134,534,10772,148871,557256
8610000US02135,706,17376,220965,924282
